"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R25,R22,R14,R28,R30,R9,R4,R7,R3,R12,R20,R15,R23";"Resistor_Horizontal_RM10mm";13;"10k";;;
2;"C17,C20,C22,C21";"C_Disc_D3_P2.5";4;"22pF";;;
3;"TH1,TH2";"R4";2;"10K THERM";;;
4;"Q9,Q5,Q4,Q2,Q3,Q7,Q6,Q8,Q1";"TO-92_Inline_Narrow_Oval";9;"MPS2222A";;;
5;"C19";"C_Disc_D5_P7";1;"0.1uF";;;
6;"R13,R26,R1,R8,R6,R11,R18,R10,R16,R21,R5,R2,R24";"Resistor_Horizontal_RM10mm";13;"4.7k";;;
7;"R31";"Resistor_Horizontal_RM10mm";1;"100";;;
8;"C13,C14,C12,C4,C8,C3,C7,C26,C27";"C_Disc_D5_P7";9;"1nF";;;
9;"R29";"Resistor_Horizontal_RM10mm";1;"3.4k";;;
10;"D8,D5,D6";"Diode_DO-35_SOD27_Horizontal_RM10";3;"1N4004";;;
11;"R34,R35,R33,R32";"Resistor_Horizontal_RM10mm";4;"150";;;
12;"R27";"Resistor_Horizontal_RM10mm";1;"2.15k";;;
13;"D3";"Diode_DO-35_SOD27_Horizontal_RM10";1;"1N4729A";;;
14;"D4";"Diode_DO-35_SOD27_Horizontal_RM10";1;"1N4734A";;;
15;"U2";"TO-220";1;"LM7805CT";;;
16;"HS_U2,HS_U1";"TO220_Silver_Heatsink";2;"TO220 Silver Heatsink";;;
17;"R19";"Resistor_Horizontal_RM10mm";1;"220";;;
18;"D1,D2";"R6";2;"5KP18CA-TP";;;
19;"SP1";"Buzzer_12x9.5RM7.6";1;"SPEAKER";;;
20;"U1";"TO-220";1;"LD1117V33";;;
21;"Mount1,Mount2,Mount4,Mount3";"MountingHole_3mm";4;"MountingHole_3mm";;;
22;"ALIGN_2,ALIGN_1";"Measurement_Point_Round-TH_Small";2;"Measurement_Point_Round-TH_Small";;;
23;"IC2";"DIP-8_W7.62mm_LongPads";1;"ATTINY85-P";;;
24;"IC1";"DIP-28_W7.62mm_LongPads";1;"ATMEGA328P-P";;;
25;"C1,C2,C5,C6,C9,C10,C18";"C_Radial_D8_L11.5_P3.5";7;"22uF/35V";;;
26;"C11,C23,C24,C25";"C_Radial_D8_L11.5_P3.5";4;"330uF/35V";;;
27;"C15";"C_Radial_D5_L6_P2.5";1;"0.47uF";;;
28;"C16";"C_Radial_D5_L11_P2.5";1;"0.33uF";;;
29;"D7";"LED-5MM";1;"LED";;;
30;"J1";"RJ12_JACK";1;"RJ12";;;
31;"P1";"2_Pole_Screw_Connector";1;"12V Pwr";;;
32;"P2";"2_Pole_Screw_Connector";1;"9V Pwr";;;
33;"P3";"3_Pole_Screw_Connector";1;"WATCHDOG_RELAY";;;
34;"P4";"2_Pole_Screw_Connector";1;"OVEN_RELAY";;;
35;"P5";"2_Pole_Screw_Connector";1;"FAN";;;
36;"P7";"Pin_Header_Straight_1x02";1;"SERIAL";;;
37;"P8";"Pin_Header_Straight_1x02";1;"328P_RESET";;;
38;"P9";"Pin_Header_Straight_1x07";1;"EXPAND";;;
39;"P10";"Pin_Header_Straight_1x02";1;"SCK";;;
40;"P11";"Pin_Header_Straight_1x02";1;"MOSI";;;
41;"P12";"Pin_Header_Straight_1x02";1;"MISO";;;
42;"P14";"Pin_Header_Straight_1x02";1;"ICSP_POWER";;;
43;"P15";"Pin_Header_Straight_1x02";1;"85_SCK";;;
44;"P16";"Pin_Header_Straight_1x02";1;"85_MISO";;;
45;"P17";"Pin_Header_Straight_1x02";1;"85_MOSI";;;
46;"P18";"Pin_Header_Straight_1x02";1;"85_RESET";;;
47;"RL1";"Relay_SPST_RTD34012";1;"RTD34012";;;
48;"U3";"Logic_Level_Shifter";1;"Logic_Level_Shift";;;
49;"Y1";"HC-49V";1;"16 MHz";;;
50;"C28";"C_Disc_D5_P7";1;"10nF";;;
51;"P6";"2_Pole_Screw_Connector";1;"THERMO";;;
52;"U4";"SO-8";1;"MAX31855KASA";;;
