unix_time,gps_date,gps_time,latitude,longitude,altitude,speed,course,sats,hdop,vdop,lux,broadband,ir,uv,pressure,humidity,accel_x,accel_y,accel_z, mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,temp_main,temp_internal,temp_external,temp_gps,temp_tsl2561,temp_sht31,temp_uv,temp_ms5607,temp_custom,temp_clock,geiger_x,geiger_y,geiger_z,pwm_main,pwm_gps,pwm_tsl2561,pwm_sht31,pwm_uv,max_pwm,voltage,state_of_charge,launched,alarm,found_lsm9ds1,found_sht31,found_ms5607,found_uv,found_ds18b20,found_tsl2561,found_gps,crc_match
1476296853,131016,19273695,46.4028663635,-93.2111434936,3993.8999023437,23.7673320770,108.9000015258,9,120,1,10445,11688,4504,752.0000000000,62521.0625000000,47.6554527282,-0.0925903320,-0.0601196289,0.4257202148,-0.2699200153,0.0911400032,0.3938200187,143.5696411132,6.4524841308,4.7926330566,-7.0000000000,-18.7500000000,-7.0000000000,-13.0000000000,-8.5000000000,-4.9263763427,-4.3750000000,-1134.4442138671,-1000.0000000000,-1000.0000000000,2,0,0,255,255,255,71,0,255,3.3662500381,38.3046875000,1,0,1,1,1,0,1,1,0,0
1476296855,131016,19273695,46.4028663635,-93.2111434936,3993.8999023437,23.7673320770,108.9000015258,9,120,1,65536,37065,22623,755.0000000000,62695.0156250000,47.3029670715,0.1152343750,0.1531372070,0.7555541992,-0.2190999984,0.3994200229,-0.1776599979,-215.6161499023,-9.7497558593,-21.9369506835,-6.7500000000,-18.6250000000,-6.8750000000,-12.8750000000,-8.3750000000,-5.3643074035,-4.1250000000,-1121.8889160156,-1000.0000000000,-1000.0000000000,1,0,0,255,255,255,46,0,255,3.3712499141,38.3046875000,1,0,1,1,1,0,1,1,0,0
1476296858,131016,19273995,46.4027099609,-93.2105407714,3966.6000976562,17.0795536041,103.1999969482,9,120,1,65536,37065,37065,756.0000000000,62880.4531250000,46.5262832641,0.0543823242,0.3825683593,0.0141601562,-0.2861600112,-0.1188600063,0.2902200222,50.2291870117,27.8211975097,-56.9807434082,-6.7500000000,-18.5000000000,-6.7500000000,-12.7500000000,-8.3750000000,-5.0251770019,-4.1250000000,-1105.9777832031,-1000.0000000000,-1000.0000000000,3,0,0,255,255,255,150,0,255,3.3587501049,38.3046875000,1,0,1,1,1,0,1,1,0,0
1476296860,131016,19274295,46.4027099609,-93.2098007202,3940.1000976562,19.2916641235,92.5000000000,9,120,1,8905,6141,1350,752.0000000000,63034.8593750000,45.0919342041,-0.2256469726,-0.2218017578,0.8768310546,-0.3535000085,-0.0589400005,0.0617399978,34.5054626464,12.5685119628,-49.5114135742,-6.5000000000,-18.3750000000,-6.5000000000,-12.6250000000,-8.1250000000,-4.6032638549,-4.0000000000,-1090.2674560546,-1000.0000000000,-1000.0000000000,0,0,0,255,255,255,113,0,255,3.3612499237,37.9414062500,1,0,1,1,1,0,1,1,0,0
1476296863,131016,19274595,46.4026374816,-93.2092208862,3913.8999023437,15.3818883895,100.3000030517,9,120,1,65536,37065,21504,755.0000000000,63210.8750000000,43.3203620910,0.0364379882,-0.2770996093,0.5433959960,-0.2227400064,0.5021800518,0.1444799995,159.6672058105,13.8246154785,-48.7113952636,-6.5000000000,-18.3750000000,-6.3750000000,-12.6250000000,-8.0000000000,-4.9824523925,-3.8750000000,-1076.5424804687,-1000.0000000000,-1000.0000000000,0,0,0,255,255,255,83,0,255,3.3650000095,37.9414062500,1,0,1,1,1,0,1,1,0,0
1476296865,131016,19274895,46.4026527404,-93.2084503173,3887.8000488281,21.2465553283,91.9000015258,9,120,1,65536,37065,37065,756.0000000000,63396.1250000000,41.5945663452,0.2349243164,-0.2734985351,0.6028442382,-0.2041200160,0.4975600242,-0.0865200042,16.5013122558,7.1627807617,-37.1298217773,-6.2500000000,-18.2500000000,-6.2500000000,-12.5000000000,-8.0000000000,-4.5204849243,-3.7500000000,-1064.9523925781,-1000.0000000000,-1000.0000000000,1,0,0,255,255,255,178,0,255,3.3550000190,37.9414062500,1,0,1,1,1,0,1,1,0,0
1476296868,131016,19274895,46.4026527404,-93.2084503173,3887.8000488281,21.2465553283,91.9000015258,9,120,1,17519,25493,11150,753.0000000000,63567.1718750000,39.9801635742,-0.3856201171,0.3027954101,0.7636718750,-0.3479000091,0.2773399829,-0.0116199994,27.4398803710,0.6579589843,5.6001281738,-6.2500000000,-18.2500000000,-6.1250000000,-12.3750000000,-7.7500000000,-4.0985717773,-3.6250000000,-1047.9907226562,-1000.0000000000,-1000.0000000000,1,0,0,255,255,255,119,0,255,3.3612499237,37.9414062500,1,0,1,1,1,0,1,1,0,0
1476296870,131016,19275195,46.4025726318,-93.2077941894,3860.3000488281,16.2049980163,97.8000030517,9,120,1,9439,6538,1452,752.0000000000,63743.3281250000,38.3001441955,-0.1431884765,0.2402343750,0.6839599609,-0.2591400146,-0.2301600217,0.0795199966,-7.4768066406,13.3909606933,-17.5331115722,-6.0000000000,-18.1250000000,-6.0000000000,-12.2500000000,-7.6250000000,-4.3656044006,-3.5000000000,-1030.9237060546,-1000.0000000000,-1000.0000000000,3,0,0,255,255,255,66,0,255,3.3662500381,37.5820312500,1,0,1,1,1,0,1,1,0,0
1476296873,131016,19275495,46.4024200439,-93.2070236206,3831.3999023437,23.5615558624,106.5000000000,9,120,1,65536,37065,34822,757.0000000000,63931.2656250000,36.6140213012,-0.0529785156,-0.0346069335,0.7427368164,-0.2532600164,0.4456200122,-0.0532000017,-70.6558227539,15.3199768066,-34.4905090332,-6.0000000000,-18.0000000000,-5.8750000000,-12.2500000000,-7.5000000000,-4.3522529602,-3.5000000000,-1017.7949218750,-1000.0000000000,-1000.0000000000,2,0,0,255,255,255,139,0,255,3.3575000762,37.5820312500,1,0,1,1,1,0,1,1,0,0
1476296875,131016,19275795,46.4023857116,-93.2061080932,3801.8000488281,21.9667778015,89.5999984741,9,120,1,65536,37065,25106,755.0000000000,64115.3281250000,35.2529182434,-0.2303466796,-0.1474609375,0.7634277343,-0.3760400056,0.2165800094,0.0344399976,73.9381408691,16.1723327636,-32.0381164550,-5.7500000000,-18.0000000000,-5.7500000000,-12.1250000000,-7.3750000000,-3.6926841735,-3.3750000000,-1000.5148925781,-1000.0000000000,-1000.0000000000,2,0,0,255,255,255,162,0,255,3.3562500476,37.5820312500,1,0,1,1,1,0,1,1,0,0
