unix_time,gps_date,gps_time,latitude,longitude,altitude,speed,course,sats,hdop,vdop,lux,broadband,ir,uv,pressure,humidity,accel_x,accel_y,accel_z, mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,temp_main,temp_internal,temp_external,temp_gps,temp_tsl2561,temp_sht31,temp_uv,temp_ms5607,temp_custom,temp_clock,geiger_x,geiger_y,geiger_z,pwm_main,pwm_gps,pwm_tsl2561,pwm_sht31,pwm_uv,max_pwm,voltage,state_of_charge,launched,alarm,found_lsm9ds1,found_sht31,found_ms5607,found_uv,found_ds18b20,found_tsl2561,found_gps,crc_match
1476282942,131016,15354595,46.6607170104,-96.7499465942,324.5000000000,0.0000000000,0.0000000000,4,1370,11,3669,3475,1182,748.0000000000,98807.5000000000,51.8669395446,0.0054321289,-0.0117797851,0.6537475585,-0.1897000122,0.0270200014,-0.0484400033,31.8586730957,18.9686584472,-23.0659484863,11.7500000000,12.8750000000,7.6250000000,16.8750000000,11.7500000000,11.0021362304,15.7500000000,1200.4567871093,-1000.0000000000,-1000.0000000000,0,0,0,0,0,0,0,0,255,4.1087498664,90.8554687500,0,0,1,1,1,0,1,1,0,0
1476282944,131016,15354595,46.6607170104,-96.7499465942,324.5000000000,0.0000000000,0.0000000000,4,1370,11,3677,3477,1181,747.0000000000,98810.0937500000,51.9493408203,-0.0064697265,-0.0029907226,0.6536254882,-0.1902600097,0.0274399995,-0.0527800035,31.7315673828,19.1929626464,-23.0360412597,12.0000000000,12.8750000000,7.6250000000,17.0000000000,11.7500000000,10.9861145019,-1000.0000000000,1200.5336914062,-1000.0000000000,-1000.0000000000,1,0,0,0,0,0,0,0,255,4.1087498664,90.8554687500,0,0,1,1,1,0,1,1,0,0
1476282945,131016,15354895,46.6607437133,-96.7500305175,325.2000122070,0.0000000000,0.0000000000,6,400,11,3679,3478,1181,747.0000000000,98809.8906250000,51.9691772460,-0.0101318359,-0.0006103516,0.6425781250,-0.1880200004,0.0317800021,-0.0576800060,31.6867065429,17.8546142578,-23.7837219238,12.0000000000,13.0000000000,7.6250000000,17.0000000000,11.7500000000,10.9594116210,16.3750000000,1200.9602050781,-1000.0000000000,-1000.0000000000,0,0,0,0,0,0,0,0,255,4.1087498664,90.8554687500,0,0,1,1,1,0,1,1,0,0
1476282947,131016,15354895,46.6607437133,-96.7500305175,325.2000122070,0.0000000000,0.0000000000,6,400,11,3681,3485,1185,748.0000000000,98801.9843750000,51.9401855468,-0.0136108398,-0.0021972656,0.6434936523,-0.1820000171,0.0294000005,-0.0627200031,31.8511962890,18.1536865234,-23.5968017578,12.0000000000,12.8750000000,7.5000000000,17.1250000000,11.7500000000,10.9594116210,16.6250000000,1200.8621826171,-1000.0000000000,-1000.0000000000,2,0,0,0,0,0,0,0,255,4.1087498664,90.8554687500,0,0,1,1,1,0,1,1,0,0
1476282948,131016,15355195,46.6607322692,-96.7500686645,327.2999877929,0.0000000000,0.0000000000,6,400,11,3684,3488,1186,748.0000000000,98808.4687500000,51.8944091796,-0.0115356445,-0.0072631835,0.6441650390,-0.1909600067,0.0305200004,-0.0538999986,31.8212890625,18.4602355957,-23.2603454589,12.0000000000,12.8750000000,7.5000000000,17.1250000000,11.7500000000,10.9727630615,16.8750000000,1200.9880371093,-1000.0000000000,-1000.0000000000,0,0,0,0,0,0,0,0,255,4.1087498664,90.8554687500,0,0,1,1,1,0,1,1,0,0
1476282950,131016,15355195,46.6607322692,-96.7500686645,327.2999877929,0.0000000000,0.0000000000,6,400,11,3950,3595,1178,747.0000000000,98806.1406250000,51.8364219665,-0.0096435546,-0.0032958984,0.6434936523,-0.1799000024,0.0303800010,-0.0705600023,31.8437194824,18.6621093750,-23.4098815917,12.0000000000,12.8750000000,7.5000000000,17.1250000000,11.7500000000,10.9594116210,17.1250000000,1200.6246337890,-1000.0000000000,-1000.0000000000,1,0,0,0,0,0,0,0,255,4.1087498664,90.8554687500,0,0,1,1,1,0,1,1,0,0
1476282951,131016,15355495,46.6607322692,-96.7500686645,327.2999877929,0.0000000000,0.0000000000,5,420,4,4578,3783,1118,748.0000000000,98805.4062500000,51.7998008728,0.0842895507,-0.0616455078,0.6694946289,-0.1800399971,0.0281400012,-0.0614600086,31.5969848632,20.9350585937,-19.5668029785,12.0000000000,12.8750000000,7.5000000000,17.2500000000,11.7500000000,10.9594116210,17.3750000000,1200.9671630859,-1000.0000000000,-1000.0000000000,2,0,0,0,0,0,0,0,255,4.1075000762,90.8554687500,0,0,1,1,1,0,1,1,0,0
1476282952,131016,15355495,46.6607322692,-96.7500686645,327.2999877929,0.0000000000,0.0000000000,5,420,4,4650,3817,1119,749.0000000000,98807.0156250000,51.7677574157,-0.0070800781,-0.0117797851,0.6372070312,-0.1836800003,0.0270200014,-0.0561399984,31.6493225097,14.6994018554,-24.4790649414,12.0000000000,12.8750000000,7.5000000000,17.2500000000,11.7500000000,10.9594116210,17.6250000000,1201.1488037109,-1000.0000000000,-1000.0000000000,0,0,0,0,0,0,0,0,255,4.1075000762,90.8554687500,0,0,1,1,1,0,1,1,0,0
1476282954,131016,15355795,46.6608047485,-96.7501144409,322.6000061035,0.0000000000,0.0000000000,5,420,4,4025,3520,1108,748.0000000000,98812.4375000000,51.7250328063,0.0567016601,-0.0227050781,0.5991210937,-0.1871799945,0.0274399995,-0.0658000040,31.2754821777,20.9126281738,-22.4304199218,12.0000000000,12.8750000000,7.5000000000,17.3750000000,11.7500000000,10.9460601806,17.8750000000,1200.8621826171,-1000.0000000000,-1000.0000000000,1,0,0,0,0,0,0,0,255,4.1087498664,90.8554687500,0,0,1,1,1,0,1,1,0,0
1476282955,131016,15355795,46.6608047485,-96.7501144409,322.6000061035,1.6976666450,347.7999877929,5,420,4,4281,3599,1085,749.0000000000,98810.8437500000,51.7296104431,0.0014648437,0.0079345703,0.6359252929,-0.1773800134,0.0194600000,-0.0485800027,31.8811035156,17.8097534179,-23.9332580566,12.0000000000,12.8750000000,7.5000000000,17.3750000000,11.7500000000,10.9460601806,18.1250000000,1200.7294921875,-1000.0000000000,-1000.0000000000,0,0,0,0,0,0,0,0,255,4.1075000762,90.8554687500,0,0,1,1,1,0,1,1,0,0
1476282957,131016,15355795,46.6608047485,-96.7501144409,322.6000061035,1.6976666450,347.7999877929,5,420,4,4557,3763,1111,748.0000000000,98809.2031250000,51.7082481384,0.0714111328,-0.0283813476,0.7411499023,-0.1929199981,0.0117599999,-0.0578199958,24.8678588867,6.1608886718,-26.6323852539,12.2500000000,12.8750000000,7.5000000000,17.3750000000,11.7500000000,10.9300384521,18.3750000000,1201.0229492187,-1000.0000000000,-1000.0000000000,1,0,0,0,0,0,0,0,255,4.1062498092,90.8554687500,0,0,1,1,1,0,1,1,0,0
1476282958,131016,15360095,46.6608047485,-96.7501220703,319.7999877929,0.8745554924,218.5000000000,5,420,4,4636,3826,1129,748.0000000000,98807.5156250000,51.6533164978,-0.3569335937,0.0757446289,0.3860473632,-0.1812999916,0.0184800014,-0.0656599998,36.0382080078,11.3871765136,-15.6788635253,12.2500000000,12.8750000000,7.5000000000,17.5000000000,11.7500000000,10.9460601806,18.5000000000,1201.4005126953,-1000.0000000000,-1000.0000000000,0,0,0,0,0,0,0,0,255,4.1062498092,90.8554687500,0,0,1,1,1,0,1,1,0,0
