unix_time,gps_date,gps_time,latitude,longitude,altitude,speed,course,sats,hdop,vdop,lux,broadband,ir,uv,pressure,humidity,accel_x,accel_y,accel_z, mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,temp_main,temp_internal,temp_external,temp_gps,temp_tsl2561,temp_sht31,temp_uv,temp_ms5607,temp_custom,temp_clock,geiger_x,geiger_y,geiger_z,pwm_main,pwm_gps,pwm_tsl2561,pwm_sht31,pwm_uv,max_pwm,voltage,state_of_charge,launched,alarm,found_lsm9ds1,found_sht31,found_ms5607,found_uv,found_ds18b20,found_tsl2561,found_gps,crc_match
1476281401,131016,15100100,0.00,0.00,0.00,-1.00,-1.00,0,0,0,10562,18286,8503,751.00,0.00,nan,-0.03,0.01,0.73,-0.15,-0.04,0.08,21.27,12.05,-15.31,20.00,20.00,17.37,21.87,21.12,nan,28.37,-1000.00,-1000.00,-1000.00,1,0,0,0,0,0,0,0,255,5.12,256.00,0,0,1,1,0,0,1,1,0,0
1476281404,131016,15100400,0.00,0.00,0.00,-1.00,-1.00,0,0,0,798,2297,1255,748.00,0.00,nan,-0.02,0.00,0.77,-0.15,-0.04,0.07,21.35,12.97,-14.20,19.75,20.00,17.37,21.87,21.12,nan,28.62,-1000.00,-1000.00,-1000.00,3,0,0,0,0,0,0,0,255,5.12,256.00,0,0,1,1,0,0,1,1,0,0
1476281415,131016,15101500,0.00,0.00,0.00,-1.00,-1.00,0,0,0,28,2101,1304,749.00,0.00,nan,-0.04,0.04,0.60,-0.10,-0.04,0.16,24.51,15.39,-17.03,19.50,19.37,17.25,22.37,20.75,nan,29.75,0.00,-1000.00,-1000.00,0,0,0,0,0,0,0,0,255,4.13,92.28,0,0,1,1,1,0,1,1,0,0
1476281416,131016,15101800,0.00,0.00,0.00,-1.00,-1.00,0,0,0,64,5540,3587,746.00,ovf,nan,-0.03,0.06,0.64,-0.13,-0.06,0.16,31.25,29.77,-20.47,19.50,19.37,17.12,22.37,20.62,nan,30.12,14040260.00,-1000.00,-1000.00,0,0,0,0,0,0,0,0,255,4.13,92.28,0,0,1,1,1,0,1,1,0,0
1476281417,131016,15101800,0.00,0.00,0.00,-1.00,-1.00,0,0,0,188,11783,6990,750.00,ovf,nan,-0.13,0.11,0.70,-0.15,-0.07,0.12,24.16,12.99,-13.01,19.50,19.37,16.87,22.50,20.62,nan,30.25,14040260.00,-1000.00,-1000.00,0,0,0,0,0,0,0,0,255,4.13,92.28,0,0,1,1,1,0,1,1,0,0
1476281454,131016,15105500,0.00,0.00,0.00,-1.00,-1.00,0,0,0,5,444,291,757.00,0.00,nan,-0.02,-0.15,0.70,-0.16,0.02,0.16,20.68,13.86,-4.21,19.00,18.50,13.75,23.50,20.00,nan,31.00,0.00,-1000.00,-1000.00,2,0,0,0,0,0,0,0,255,4.13,92.28,0,0,1,1,1,0,1,1,0,0
1476281456,131016,15105800,0.00,0.00,0.00,-1.00,-1.00,0,0,0,101,7762,4838,739.00,ovf,nan,0.01,-0.20,0.83,-0.14,-0.01,0.18,8.19,-7.73,-19.83,19.00,18.37,13.50,23.50,20.00,nan,30.87,14040260.00,-1000.00,-1000.00,1,0,0,0,0,0,0,0,255,4.13,92.28,0,0,1,1,1,0,1,1,0,0
1476281457,131016,15105800,0.00,0.00,0.00,-1.00,-1.00,0,0,0,40,3067,1917,744.00,ovf,nan,-0.01,-0.09,0.52,-0.06,-0.09,0.23,19.38,-9.79,2.61,18.75,18.25,13.38,23.50,20.00,nan,30.87,14040260.00,-1000.00,-1000.00,0,0,0,0,0,0,0,0,255,4.13,92.28,0,0,1,1,1,0,1,1,0,0
1476281486,131016,15112600,0.00,0.00,0.00,-1.00,-1.00,0,0,0,7,564,355,753.00,0.00,nan,-0.02,0.01,0.43,-0.08,-0.11,0.15,21.32,13.02,-15.66,18.25,17.75,12.13,24.12,19.50,nan,-1000.00,0.00,-1000.00,-1000.00,0,0,0,0,0,0,0,0,255,4.13,92.28,0,0,1,1,1,0,1,1,0,0
1476281487,131016,15112900,0.00,0.00,0.00,-1.00,-1.00,0,0,0,7,568,358,754.00,ovf,nan,-0.03,0.04,0.40,-0.10,-0.11,0.15,24.29,16.11,-17.32,18.25,17.87,12.25,24.12,19.50,nan,32.25,14040260.00,-1000.00,-1000.00,0,0,0,0,0,0,0,0,255,4.13,92.28,0,0,1,1,1,0,1,1,0,0
