type,time,latitude,longitude,alt,speed,course
T,1476282942,46.66,-96.75,324.5,0,0
T,1476282944,46.66,-96.75,324.5,0,0
T,1476282945,46.66,-96.75,325.2,0,0
T,1476282947,46.66,-96.75,325.2,0,0
T,1476282948,46.66,-96.75,327.3,0,0
T,1476282950,46.66,-96.75,327.3,0,0
T,1476282951,46.66,-96.75,327.3,0,0
T,1476282952,46.66,-96.75,327.3,0,0
T,1476282954,46.66,-96.75,322.6,0,0
T,1476282955,46.66,-96.75,322.6,1.7,347.8
T,1476282957,46.66,-96.75,322.6,1.7,347.8
T,1476282958,46.66,-96.75,319.8,0.87,218.5
T,1476282960,46.66,-96.75,319.8,0.87,218.5
T,1476282961,46.66,-96.75,316.4,0,218.5
T,1476282963,46.66,-96.75,314.7,0,218.5
T,1476282964,46.66,-96.75,314.7,1.18,354
T,1476282966,46.66,-96.75,311.9,0.72,2.1
T,1476282967,46.66,-96.75,311.9,0.72,2.1
T,1476282969,46.66,-96.75,310.3,0.46,356.8
T,1476282970,46.66,-96.75,310.3,0.46,356.8
T,1476282972,46.66,-96.75,310.3,0.46,356.8
T,1476282973,46.66,-96.75,309,0,358
T,1476282975,46.66,-96.75,309,0,358
T,1476282976,46.66,-96.75,308.7,0,358
T,1476282978,46.66,-96.75,308.7,0,358
T,1476282979,46.66,-96.75,308.4,0,358
T,1476282981,46.66,-96.75,308.4,0,358
T,1476282982,46.66,-96.75,308.4,0,358
T,1476282983,46.66,-96.75,308.4,0,358
T,1476282985,46.66,-96.75,308.4,0,358
T,1476282986,46.66,-96.75,308.4,0,358
T,1476282988,46.66,-96.75,308.4,0,358
T,1476282989,46.66,-96.75,308.4,0,358
T,1476282991,46.66,-96.75,308.4,0,358
T,1476282992,46.66,-96.75,308.4,0,358
T,1476282994,46.66,-96.75,308.1,0.46,346.3
T,1476282995,46.66,-96.75,308.1,0.46,346.3
T,1476282996,46.66,-96.75,308,0.46,348.7
T,1476282998,46.66,-96.75,308,0.46,348.7
